
tanB/mH		     R(D)		     R(D*)
0.504		0.263 +- 0.060 		0.341 +- 0.031
0.505		0.262 +- 0.060 		0.341 +- 0.031
0.506		0.262 +- 0.060 		0.341 +- 0.031
0.507		0.262 +- 0.060 		0.341 +- 0.031
0.508		0.262 +- 0.060 		0.340 +- 0.031
0.509		0.261 +- 0.060 		0.340 +- 0.031
0.510		0.261 +- 0.060 		0.340 +- 0.031
0.511		0.261 +- 0.060 		0.340 +- 0.031
0.512		0.261 +- 0.060 		0.340 +- 0.031
0.513		0.260 +- 0.060 		0.340 +- 0.031
0.514		0.260 +- 0.060 		0.340 +- 0.031
